participating_org	donor_organizations_id	donor_organizations	donor_groups_id	donor_groups
Fondo para el Desarrollo Internacional de la Organización de los Países Exportadores de Petroleo (OPEP)	41	OPEC Fund for International Development (OFID)	120834146	Multilaterals
Fondo Social de Desarrollo Japones	30	Japan	110593473	Far East Asia
Fonds Africain de Développement (58)	112064756	AFDB Group	120834146	Multilaterals
FONDS CANADIEN	8	Canada	110593551	North & Central America
Fonds d'équipement des nations unies	40557594	United Nations Capital Development Fund (UNCDF)	120834146	Multilaterals
Fonds de Contrepartie Espagnol	45	Spain	110593622	Europe
Fonds de Contrepartie Japonais	30	Japan	110593473	Far East Asia
Fonds de développement des Nations unies pour la femme	50163269	United Nations Development Fund for Women	120834146	Multilaterals
Fonds de Développement des Nations Unies pour la femme (5)	50163269	United Nations Development Fund for Women	120834146	Multilaterals
Fonds de l'Environnement pour les Nations Unies	50849215	United Nations Environment Programme (UNEP)	120834146	Multilaterals
Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP))	92178918	United Nations Peacebuilding Fund (UNPBF)	120834146	Multilaterals
Fonds des Nations Unies pour la Poppulation	49	United Nations Population Fund (UNFPA)	120834146	Multilaterals
Fonds des Nations Unies pour la population (24)	49	United Nations Population Fund (UNFPA)	120834146	Multilaterals
Fonds Forestiers pour le Bassin du Congo (13)		Multilateral, Unspecified	120834146	Multilaterals
Fonds Français pour l'Environnement Mondial	18	France	110593622	Europe
Fonds Fudiciaires Multidonneurs		NGO/Other	142309408	NGO/Other
FONDS GAVI	40001644	Global Alliance for Vaccines & Immunization (GAVI)	120834146	Multilaterals
Fonds International de Développement Agricole	24	International Fund for Agricultural Development (IFAD)	120834146	Multilaterals
Fonds International de Développement de l'Agriculture	24	International Fund for Agricultural Development (IFAD)	120834146	Multilaterals
Fonds International pour le Développement Agricole (7)	24	International Fund for Agricultural Development (IFAD)	120834146	Multilaterals
Fonds KOWEITIEN	61	Kuwait	110593697	Middle East
Fonds Koweïtien	61	Kuwait	110593697	Middle East
Fonds mondial	67	Global Fund to Fight Aids, Tuberculosis and Malaria (GFATM)	120834146	Multilaterals
Fonds Mondial (20)	67	Global Fund to Fight Aids, Tuberculosis and Malaria (GFATM)	120834146	Multilaterals
Fonds Mondial de l'Environnement		NGO/Other	142309408	NGO/Other
Fonds Monétaire International	63	International Monetary Fund (IMF)	120834146	Multilaterals
Fonds monétaire international (3)	63	International Monetary Fund (IMF)	120834146	Multilaterals
Fonds Nordique de Développement	36	Nordic Development Fund (NDF)	120834146	Multilaterals
Fonds OPEP	41	OPEC Fund for International Development (OFID)	120834146	Multilaterals
Fonds SAOUDIEN	60	Saudi Arabia	110593697	Middle East
Food & Agriculture Organisation (FAO)	110592794	UN Food and Agriculture Organization (FAO)	120834146	Multilaterals
Food and Agriculture Organization	110592794	UN Food and Agriculture Organization (FAO)	120834146	Multilaterals
FRANCE	18	France	110593622	Europe
France	18	France	110593622	Europe
France (afd)	18	France	110593622	Europe
FRANCIA	18	France	110593622	Europe
FUNDACION BBVA		NGO/Other	142309408	NGO/Other
FUNDACION CLINTON		NGO/Other	142309408	NGO/Other
FUNDACION DESARROLLO SOSTENIDO - FUNDESO		NGO/Other	142309408	NGO/Other
FUNDACION ENRIQUE DE OSSO		NGO/Other	142309408	NGO/Other
FUNDACION FORD		NGO/Other	142309408	NGO/Other
FUNDACION FORMULA SONRISAS		NGO/Other	142309408	NGO/Other
FUNDACION HORIZON		NGO/Other	142309408	NGO/Other
FUNDACION INTERAMERICANA IAF		NGO/Other	142309408	NGO/Other
FUNDACION LIMMAT STIFTTUNG		NGO/Other	142309408	NGO/Other
FUNDACION LUA NOVA		NGO/Other	142309408	NGO/Other
FUNDACION MARIA LUISA DE MORENO		NGO/Other	142309408	NGO/Other
FUNDACION PEARSON		NGO/Other	142309408	NGO/Other
FUNDACION SIEMENS		NGO/Other	142309408	NGO/Other
FUNDACION SOLIDARIDAD CARREFOUR		NGO/Other	142309408	NGO/Other
FUNDACION TELEFONICA		NGO/Other	142309408	NGO/Other
FUNDACION TIERRA DE HOMBRES		NGO/Other	142309408	NGO/Other
FUNDACION TIERRA DE HOMBRES - GINEBRA		NGO/Other	142309408	NGO/Other
FUNDACION WILLIAM J. CLINTON		NGO/Other	142309408	NGO/Other
Gaja Youth Club		NGO/Other	142309408	NGO/Other
Gavi Alliance	40001644	Global Alliance for Vaccines & Immunization (GAVI)	120834146	Multilaterals
GENERALITAT DE VALENCIA	45	Spain	110593622	Europe
GENERALITAT VALENCIANA	45	Spain	110593622	Europe
Geneva Global		NGO/Other	142309408	NGO/Other
German Cooperation	53	Germany	110593622	Europe
German Federal Ministry Of Economic Development And Cooperation (bmz)	53	Germany	110593622	Europe
German Federal Office	53	Germany	110593622	Europe
German Nepal Help Association		NGO/Other	142309408	NGO/Other
Germany	53	Germany	110593622	Europe
GIVE TO COLOMBIA		NGO/Other	142309408	NGO/Other
Giz	53	Germany	110593622	Europe
GIZ	53	Germany	110593622	Europe
Glabal Alliance for Vaccines and Immunization	40001644	Global Alliance for Vaccines & Immunization (GAVI)	120834146	Multilaterals
GLIA		NGO/Other	142309408	NGO/Other
Global Alliance for Vaccination and Immunization	40001644	Global Alliance for Vaccines & Immunization (GAVI)	120834146	Multilaterals
