"ID","gwgroupid","status"
22162,43606000,"JUNIOR PARTNER"
21824,43606000,"JUNIOR PARTNER"
22172,43606000,"JUNIOR PARTNER"
23321,43606000,"JUNIOR PARTNER"
21825,43606000,"JUNIOR PARTNER"
22167,43606000,"JUNIOR PARTNER"
23211,43606000,"JUNIOR PARTNER"
22644,43606000,"JUNIOR PARTNER"
21910,43606000,"JUNIOR PARTNER"
23448,43606000,"JUNIOR PARTNER"
22548,43606000,"JUNIOR PARTNER"
22448,43606000,"JUNIOR PARTNER"
22979,43606000,"JUNIOR PARTNER"
22452,43606000,"JUNIOR PARTNER"
23457,43606000,"JUNIOR PARTNER"
21589,43606000,"JUNIOR PARTNER"
23454,43606000,"JUNIOR PARTNER"
21906,43606000,"JUNIOR PARTNER"
22546,43606000,"JUNIOR PARTNER"
23458,43606000,"JUNIOR PARTNER"
21511,43606000,"JUNIOR PARTNER"
22073,43606000,"JUNIOR PARTNER"
22072,43606000,"JUNIOR PARTNER"
22442,43606000,"JUNIOR PARTNER"
23210,43606000,"JUNIOR PARTNER"
22263,43606000,"JUNIOR PARTNER"
22266,43606000,"JUNIOR PARTNER"
22543,43606000,"JUNIOR PARTNER"
22633,43606000,"JUNIOR PARTNER"
22537,43606000,"JUNIOR PARTNER"
23322,43606000,"JUNIOR PARTNER"
22634,43606000,"JUNIOR PARTNER"
21669,43606000,"JUNIOR PARTNER"
22860,43606000,"JUNIOR PARTNER"
22168,43606000,"JUNIOR PARTNER"
22444,43606000,"JUNIOR PARTNER"
22861,43606000,"JUNIOR PARTNER"
22074,43606000,"JUNIOR PARTNER"
22445,43606000,"JUNIOR PARTNER"
22354,43606000,"JUNIOR PARTNER"
23212,43606000,"JUNIOR PARTNER"
22254,43606000,"JUNIOR PARTNER"
23216,43606000,"JUNIOR PARTNER"
21590,43606000,"JUNIOR PARTNER"
22539,43606000,"JUNIOR PARTNER"
21830,43606000,"JUNIOR PARTNER"
21902,43606000,"JUNIOR PARTNER"
23326,43606000,"JUNIOR PARTNER"
22858,43606000,"JUNIOR PARTNER"
22443,43606000,"JUNIOR PARTNER"
23447,43606000,"JUNIOR PARTNER"
23209,43606000,"JUNIOR PARTNER"
21431,43606000,"JUNIOR PARTNER"
22544,43606000,"JUNIOR PARTNER"
22541,43606000,"JUNIOR PARTNER"
