"","ID","x","y","tribeid","tribename"
"409",19481,-10.75,23.75,647,"REGEIBAT"
"410",19482,-10.75,24.25,647,"REGEIBAT"
"411",19483,-10.75,24.75,647,"REGEIBAT"
"412",19484,-10.75,25.25,647,"REGEIBAT"
"413",19485,-10.75,25.75,647,"REGEIBAT"
"414",19486,-10.75,26.25,647,"REGEIBAT"
"415",19487,-10.75,26.75,647,"REGEIBAT"
"416",19488,-10.75,27.25,746,"TEKNA"
"417",19489,-10.75,27.75,746,"TEKNA"
"418",19490,-10.75,28.25,746,"TEKNA"
"419",19491,-10.75,28.75,746,"TEKNA"
"420",19492,-10.25,6.25,81,"BASSA"
"421",19493,-10.25,6.75,244,"GOLA"
"422",19494,-10.25,7.25,244,"GOLA"
"423",19495,-10.25,7.75,530,"MENDE"
"424",19496,-10.25,8.25,530,"MENDE"
"425",19497,-10.25,8.75,372,"KISSI"
"426",19498,-10.25,9.25,372,"KISSI"
"427",19499,-10.25,9.75,389,"KORANKO"
"428",19500,-10.25,10.25,483,"MALINKE"
"429",19501,-10.25,10.75,483,"MALINKE"
"430",19502,-10.25,11.25,483,"MALINKE"
"431",19503,-10.25,11.75,217,"FOUTADJALON"
"432",19504,-10.25,12.25,173,"DIALONKE"
"433",19505,-10.25,12.75,483,"MALINKE"
"434",19506,-10.25,13.25,483,"MALINKE"
"435",19507,-10.25,13.75,483,"MALINKE"
"436",19508,-10.25,14.25,346,"KASONKE"
"437",19509,-10.25,14.75,717,"SONINKE"
"438",19510,-10.25,15.25,717,"SONINKE"
"439",19511,-10.25,15.75,827,"ZENEGA"
"440",19512,-10.25,16.25,827,"ZENEGA"
"441",19513,-10.25,16.75,827,"ZENEGA"
"442",19514,-10.25,17.25,827,"ZENEGA"
"443",19515,-10.25,17.75,827,"ZENEGA"
"444",19516,-10.25,18.25,827,"ZENEGA"
"445",19517,-10.25,18.75,827,"ZENEGA"
"446",19518,-10.25,19.25,827,"ZENEGA"
"447",19519,-10.25,19.75,647,"REGEIBAT"
"448",19520,-10.25,20.25,647,"REGEIBAT"
"449",19521,-10.25,20.75,NA,NA
"450",19522,-10.25,21.25,NA,NA
"451",19523,-10.25,21.75,NA,NA
"452",19524,-10.25,22.25,NA,NA
"453",19525,-10.25,22.75,NA,NA
"454",19526,-10.25,23.25,NA,NA
"455",19527,-10.25,23.75,NA,NA
"456",19528,-10.25,24.25,NA,NA
"457",19529,-10.25,24.75,647,"REGEIBAT"
"458",19530,-10.25,25.25,647,"REGEIBAT"
"459",19531,-10.25,25.75,647,"REGEIBAT"
"460",19532,-10.25,26.25,647,"REGEIBAT"
"461",19533,-10.25,26.75,647,"REGEIBAT"
"462",19534,-10.25,27.25,746,"TEKNA"
"463",19535,-10.25,27.75,746,"TEKNA"
"464",19536,-10.25,28.25,746,"TEKNA"
"465",19537,-10.25,28.75,746,"TEKNA"
"466",19538,-10.25,29.25,746,"TEKNA"
"467",19539,-9.75,5.75,81,"BASSA"
"468",19540,-9.75,6.25,81,"BASSA"
"469",19541,-9.75,6.75,81,"BASSA"
"470",19542,-9.75,7.25,399,"KPELLE"
"471",19543,-9.75,7.75,231,"GBANDE"
"472",19544,-9.75,8.25,231,"GBANDE"
"473",19545,-9.75,8.75,372,"KISSI"
"474",19546,-9.75,9.25,372,"KISSI"
"475",19547,-9.75,9.75,389,"KORANKO"
"476",19548,-9.75,10.25,483,"MALINKE"
"477",19549,-9.75,10.75,483,"MALINKE"
"478",19550,-9.75,11.25,173,"DIALONKE"
"479",19551,-9.75,11.75,173,"DIALONKE"
"480",19552,-9.75,12.25,173,"DIALONKE"
"481",19553,-9.75,12.75,483,"MALINKE"
"482",19554,-9.75,13.25,483,"MALINKE"
"483",19555,-9.75,13.75,483,"MALINKE"
"484",19556,-9.75,14.25,346,"KASONKE"
"485",19557,-9.75,14.75,346,"KASONKE"
"486",19558,-9.75,15.25,717,"SONINKE"
"487",19559,-9.75,15.75,717,"SONINKE"
"488",19560,-9.75,16.25,827,"ZENEGA"
"489",19561,-9.75,16.75,827,"ZENEGA"
"490",19562,-9.75,17.25,827,"ZENEGA"
"491",19563,-9.75,17.75,827,"ZENEGA"
"492",19564,-9.75,18.25,827,"ZENEGA"
"493",19565,-9.75,18.75,827,"ZENEGA"
"494",19566,-9.75,19.25,827,"ZENEGA"
"495",19567,-9.75,19.75,827,"ZENEGA"
"496",19568,-9.75,20.25,NA,NA
"497",19569,-9.75,20.75,NA,NA
"498",19570,-9.75,21.25,NA,NA
"499",19571,-9.75,21.75,NA,NA
"500",19572,-9.75,22.25,NA,NA
"501",19573,-9.75,22.75,NA,NA
"502",19574,-9.75,23.25,NA,NA
"503",19575,-9.75,23.75,NA,NA
"504",19576,-9.75,24.25,NA,NA
"505",19577,-9.75,24.75,NA,NA
"506",19578,-9.75,25.25,NA,NA
"507",19579,-9.75,25.75,647,"REGEIBAT"
"508",19580,-9.75,26.25,647,"REGEIBAT"
"509",19581,-9.75,26.75,647,"REGEIBAT"
"510",19582,-9.75,27.25,746,"TEKNA"
"511",19583,-9.75,27.75,746,"TEKNA"
"512",19584,-9.75,28.25,746,"TEKNA"
"513",19585,-9.75,28.75,746,"TEKNA"
"514",19586,-9.75,29.25,746,"TEKNA"
"515",19587,-9.75,29.75,695,"SHLUH"
"516",19588,-9.75,30.75,695,"SHLUH"
"517",19589,-9.75,31.25,695,"SHLUH"
"518",19592,-9.25,5.25,404,"KRU"
"519",19593,-9.25,5.75,81,"BASSA"
"520",19594,-9.25,6.25,81,"BASSA"
"521",19595,-9.25,6.75,399,"KPELLE"
"522",19596,-9.25,7.25,399,"KPELLE"
"523",19597,-9.25,7.75,399,"KPELLE"
"524",19598,-9.25,8.25,765,"TOMA"
"525",19599,-9.25,8.75,765,"TOMA"
"526",19600,-9.25,9.25,389,"KORANKO"
"527",19601,-9.25,9.75,483,"MALINKE"
"528",19602,-9.25,10.25,483,"MALINKE"
"529",19603,-9.25,10.75,483,"MALINKE"
"530",19604,-9.25,11.25,483,"MALINKE"
