"from","to","dist","dur","share_unnamed"
29,47,105.888,123.918333333333,0.518327855847688
30,46,180.3432,216.941666666667,1
30,47,123.9558,136.076666666667,1
31,32,186.6667,290.036666666667,0.99149875151808
31,48,136.6809,241.808333333333,1
31,49,126.0831,225.848333333333,1
31,50,278.3827,451.175,0.860970427379595
32,33,107.8952,135.303333333333,0.960925972610459
32,49,277.9486,345.501666666667,0.683794413787297
32,50,86.2063,202.223333333333,1
32,51,100.8584,124.578333333333,0.213811640874731
33,34,84.3635,113.735,1
33,50,186.9008,289.908333333333,0.793931530413241
