"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132597201025947,0.109724884891238,0.125712803957987,0,0,0,0,0,0.118590311148154,0,0.132573361928088,0,0,0,0,0.125009217224265,0.14429839775389,0.139381095283873,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119898568069537,0.102881074311532,0.11148130192389,0,0,0,0,0,0.132573361928088,0,0.107529293991561,0,0,0,0,0.122739125835878,0.109067008145571,0.122273320939948,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11406700631011,0.108263242968937,0,0,0,0,0,0,0.107529293991561,0,0,0,0,0,0,0.114567722914675,0.108476621500689,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124294467746324,0.117284012484321,0.12342754776659,0,0,0,0,0,0,0.117341435258016,0,0,0,0,0,0.11993956990307,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130082470935664,0.105391165594083,0.140303396944492,0,0,0,0,0.117341435258016,0,0.116189211951942,0,0,0,0,0.10523030028424,0.12108598972408,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134923973407258,0.135468702537016,0.131469864408045,0,0,0,0,0.116189211951942,0,0.128749109794336,0,0,0,0.125073112021637,0.109218610583611,0.123190613567359,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126692817822716,0.119437316516647,0.125009217224265,0,0,0,0,0.128749109794336,0,0.150232242111456,0,0,0,0.130744932042028,0.135745461205503,0.1480872261945,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151176058746907,0.14429839775389,0.122739125835878,0,0,0,0,0.150232242111456,0,0.118408145234757,0,0,0,0.121530953629718,0.101414518842222,0.119413469925321,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139381095283873,0.109067008145571,0.114567722914675,0,0,0,0,0.118408145234757,0,0.110159298444948,0,0,0,0.116655154698049,0.108857894335727,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122273320939948,0.108476621500689,0,0,0,0,0,0.110159298444948,0,0,0,0,0,0.11674765519666,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11993956990307,0.10523030028424,0.125073112021637,0,0,0,0,0,0.11868586301416,0,0,0,0.120462902936782,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12108598972408,0.109218610583611,0.130744932042028,0,0,0,0.11868586301416,0,0.113292890858256,0,0,0.116601346374499,0.127779075149888,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123190613567359,0.135745461205503,0.121530953629718,0,0,0,0.113292890858256,0,0.113973715260674,0,0.125472782356134,0.106699800136728,0.119018613786805
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1480872261945,0.101414518842222,0.116655154698049,0,0,0,0.113973715260674,0,0.111651804308623,0,0.117618272528731,0.104070764672041
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119413469925321,0.108857894335727,0.11674765519666,0,0,0,0.111651804308623,0,0,0,0.12352407040357
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120462902936782,0.116601346374499,0.125472782356134,0,0,0,0.124182775182441,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127779075149888,0.106699800136728,0.117618272528731,0,0.124182775182441,0,0.116292111907741
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119018613786805,0.104070764672041,0.12352407040357,0,0.116292111907741,0
