"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95599493077283e-05,7.88099879641774e-05,9.359940827533e-05,0,0,0,0,0,0,0,0,7.0999055139701e-05,0,6.95759919485473e-05,0,0,0,0,0,0,0,0,0.000105396556448978,6.82288922695798e-05,0.000122005354199211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103776135236673,6.01693771766302e-05,9.48641022166862e-05,0,0,0,0,0,0,0,0,6.95759919485473e-05,0,9.65628797849201e-05,0,0,0,0,0,0,0,0,9.62579138960225e-05,7.80379546772183e-05,0.000111040893779698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34234003809326e-05,7.14638096416352e-05,8.77497632285251e-05,0,0,0,0,0,0,0,0,9.65628797849201e-05,0,9.13362127178498e-05,0,0,0,0,0,0,0,0,7.27859648786846e-05,9.60811803362793e-05,0.000130561750029791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39689148019182e-05,4.18837289519977e-05,7.71795673153838e-05,0,0,0,0,0,0,0,0,9.13362127178498e-05,0,5.37408661654321e-05,0,0,0,0,0,0,0,0,0.000170796141904827,4.16401042728141e-05,9.46943707400758e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60661000790497e-05,8.16177127143764e-05,0.000190819007405677,0,0,0,0,0,0,0,0,5.37408661654321e-05,0,6.23937561640462e-05,0,0,0,0,0,0,0,0,9.66167193360359e-05,5.29592500585955e-05,6.74233349322558e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130338004460057,0.00014385307063306,0.000119737521458747,0,0,0,0,0,0,0,0,6.23937561640462e-05,0,7.99631806735195e-05,0,0,0,0,0,0,0,0,6.39074064018927e-05,6.86158583553957e-05,7.63791837858075e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17240763347082e-05,6.41521779306361e-05,8.22932381524404e-05,0,0,0,0,0,0,0,0,7.99631806735195e-05,0,4.42688181553762e-05,0,0,0,0,0,0,0,0,0.000158975050074923,6.66974253550693e-05,7.60355945856926e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39170035993782e-05,8.76583759827306e-05,0.000113746499283616,0,0,0,0,0,0,0,0,4.42688181553762e-05,0,4.97301195326701e-05,0,0,0,0,0,0,0,0,8.10156059341681e-05,3.9363857211155e-05,6.75384874402259e-05,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126429103310136,6.99627857479984e-05,7.35904433652199e-05,0,0,0,0,0,0,0,0,4.97301195326701e-05,0,5.55827152274104e-05,0,0,0,0,0,0,0,0,7.93815189787409e-05,5.47863391623768e-05,0.000138130099700195,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56586445836628e-05,4.80706022303636e-05,0,0,0,0,0,0,0,0,0,5.55827152274104e-05,0,0,0,0,0,0,0,0,0,0,0.000139600372225004,9.8114362595365e-05,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63097580774432e-05,0.000105396556448978,0,0,0,0,0,0,0,0,0,0,6.17639361987343e-05,0,0,0,0,0,0,0,0,0,6.66102744591829e-05,0.000105198174641256,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.71313318307166e-05,6.82288922695798e-05,9.62579138960225e-05,0,0,0,0,0,0,0,0,6.17639361987343e-05,0,0.000118388806572542,0,0,0,0,0,0,0,0,0.000100948906332519,6.1860197494014e-05,0.000120025561066116,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122005354199211,7.80379546772183e-05,7.27859648786846e-05,0,0,0,0,0,0,0,0,0.000118388806572542,0,6.08122179671411e-05,0,0,0,0,0,0,0,0,0.000165743510259824,0.000102564353968453,0.000112862202432278,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111040893779698,9.60811803362793e-05,0.000170796141904827,0,0,0,0,0,0,0,0,6.08122179671411e-05,0,4.0580681802057e-05,0,0,0,0,0,0,0,0,8.80541415795718e-05,9.79080408573121e-05,0.000159138134384761,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130561750029791,4.16401042728141e-05,9.66167193360359e-05,0,0,0,0,0,0,0,0,4.0580681802057e-05,0,7.73115144935581e-05,0,0,0,0,0,0,0,0,0.000178753199304875,0.000102769236486951,0.000113905581245212,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46943707400758e-05,5.29592500585955e-05,6.39074064018927e-05,0,0,0,0,0,0,0,0,7.73115144935581e-05,0,4.29394081128056e-05,0,0,0,0,0,0,0,0,7.73717413472305e-05,8.81837695966026e-05,7.34410615657949e-05,0,0,0,0
